// from YR4 https://twiki.cern.ch/twiki/pub/LHCPhysics/LHCHXSWG/Higgs_XSBR_YR4_update.xlsx  
//MH	Cross	Uncertainty					1+?EW
//	Section	Scale		PDF+?s	PDF	?s	
//[GeV]	[pb]	pos [%]	neg [%]	[%]	[%]	[%]	
10.00	6.996E+03	+49.9	-38.9	±8.0	±7.5	±2.7	0.0000
15.00	4.275E+03	+34.8	-29.2	±5.9	±5.1	±2.9	0.0000
20.00	2.085E+03	+25.7	-22.5	±4.8	±3.7	±3.0	0.0000
25.00	1.146E+03	+20.8	-18.2	±4.3	±3.1	±3.0	0.0000
30.00	7.103E+02	+18.5	-15.6	±4.2	±2.8	±3.1	0.0000
35.00	4.846E+02	+16.3	-13.9	±4.0	±2.6	±3.1	0.0000
40.00	3.555E+02	+14.8	-12.9	±3.9	±2.4	±3.1	0.0000
45.00	2.751E+02	+13.5	-12.1	±3.8	±2.3	±3.0	0.0000
50.00	2.214E+02	+12.5	-11.6	±3.7	±2.2	±3.0	0.0000
55.00	1.835E+02	+11.7	-11.1	±3.7	±2.2	±2.9	0.0000
60.00	1.555E+02	+11.1	-10.7	±3.6	±2.1	±2.9	0.0000
65.00	1.341E+02	+10.5	-10.3	±3.5	±2.1	±2.9	0.0000
70.00	1.172E+02	+10.1	-10.0	±3.5	±2.0	±2.8	0.0000
75.00	1.036E+02	+9.7	-9.7	±3.4	±2.0	±2.8	0.0000
80.00	9.240E+01	+9.4	-9.5	±3.4	±2.0	±2.7	0.0000
85.00	8.302E+01	+9.1	-9.3	±3.3	±1.9	±2.7	0.0000
90.00	7.507E+01	+8.8	-9.1	±3.3	±1.9	±2.7	0.0000
95.00	6.825E+01	+8.6	-8.9	±3.3	±1.9	±2.6	0.0000
100.00	6.235E+01	+8.4	-8.8	±3.2	±1.9	±2.6	1.0418
105.00	5.720E+01	+8.2	-8.6	±3.2	±1.9	±2.6	1.0436
110.00	5.268E+01	+8.0	-8.5	±3.2	±1.9	±2.6	1.0455
115.00	4.869E+01	+7.9	-8.3	±3.1	±1.8	±2.5	1.0474
120.00	4.514E+01	+7.7	-8.2	±3.1	±1.8	±2.5	1.0494
125.00	4.198E+01	+7.6	-8.1	±3.1	±1.8	±2.5	1.0514
130.00	3.914E+01	+7.5	-8.0	±3.1	±1.8	±2.5	1.0534
135.00	3.659E+01	+7.4	-7.9	±3.1	±1.8	±2.5	1.0553
140.00	3.428E+01	+7.2	-7.8	±3.0	±1.8	±2.5	1.0571
145.00	3.219E+01	+7.1	-7.7	±3.0	±1.8	±2.4	1.0587
150.00	3.029E+01	+7.0	-7.6	±3.0	±1.8	±2.4	1.0598
160.00	2.697E+01	+6.9	-7.5	±3.0	±1.8	±2.4	1.0486
170.00	2.419E+01	+6.7	-7.4	±3.0	±1.8	±2.4	1.0206
180.00	2.184E+01	+6.5	-7.2	±2.9	±1.8	±2.4	1.0053
190.00	1.984E+01	+6.4	-7.1	±2.9	±1.7	±2.3	0.9872
200.00	1.812E+01	+6.3	-7.0	±2.9	±1.7	±2.3	0.9793
210.00	1.665E+01	+6.2	-6.9	±2.9	±1.7	±2.3	0.9761
220.00	1.537E+01	+6.1	-6.8	±2.9	±1.7	±2.3	0.9749
230.00	1.426E+01	+6.0	-6.7	±2.9	±1.7	±2.3	0.9749
240.00	1.331E+01	+5.9	-6.6	±2.9	±1.7	±2.3	0.9755
250.00	1.248E+01	+5.9	-6.5	±2.9	±1.8	±2.3	0.9762
260.00	1.176E+01	+5.8	-6.5	±2.9	±1.8	±2.3	0.9772
270.00	1.114E+01	+5.8	-6.4	±2.9	±1.8	±2.3	0.9783
280.00	1.062E+01	+5.8	-6.3	±2.9	±1.8	±2.2	0.9795
290.00	1.018E+01	+5.8	-6.3	±2.9	±1.8	±2.2	0.9805
300.00	9.823E+00	+5.8	-6.2	±2.9	±1.8	±2.2	0.9813
310.00	9.559E+00	+5.7	-6.1	±2.9	±1.8	±2.2	0.9819
320.00	9.392E+00	+5.7	-6.1	±2.9	±1.8	±2.2	0.9820
330.00	9.349E+00	+5.7	-6.0	±2.9	±1.8	±2.2	0.9813
340.00	9.521E+00	+5.7	-5.9	±2.9	±1.8	±2.2	0.9779
350.00	1.025E+01	+5.7	-5.8	±2.9	±1.8	±2.2	0.9595
360.00	1.063E+01	+5.7	-5.8	±2.9	±1.9	±2.2	0.9608
370.00	1.064E+01	+5.7	-5.7	±2.9	±1.9	±2.2	0.9642
380.00	1.040E+01	+5.7	-5.7	±2.9	±1.9	±2.2	0.9677
390.00	1.000E+01	+5.7	-5.6	±2.9	±1.9	±2.2	0.9713
400.00	9.516E+00	+5.7	-5.5	±2.9	±1.9	±2.2	0.9741
410.00	8.976E+00	+5.7	-5.5	±3.0	±2.0	±2.2	0.9771
420.00	8.415E+00	+5.7	-5.4	±3.0	±2.0	±2.2	0.9802
430.00	7.853E+00	+5.7	-5.4	±3.0	±2.0	±2.2	0.9830
440.00	7.301E+00	+5.7	-5.3	±3.0	±2.0	±2.2	0.9853
450.00	6.771E+00	+5.7	-5.3	±3.0	±2.0	±2.2	0.9878
460.00	6.266E+00	+5.6	-5.2	±3.0	±2.1	±2.2	0.9900
470.00	5.788E+00	+5.6	-5.2	±3.1	±2.1	±2.2	0.9921
480.00	5.341E+00	+5.6	-5.2	±3.1	±2.1	±2.2	0.9940
490.00	4.924E+00	+5.6	-5.1	±3.1	±2.1	±2.3	0.9961
500.00	4.538E+00	+5.6	-5.1	±3.1	±2.2	±2.3	0.9981
550.00	3.008E+00	+5.5	-5.0	±3.2	±2.3	±2.3	1.0069
600.00	2.006E+00	+5.5	-4.9	±3.4	±2.5	±2.3	1.0152
650.00	1.352E+00	+5.5	-4.9	±3.5	±2.6	±2.3	1.0226
700.00	9.235E-01	+5.4	-4.8	±3.7	±2.8	±2.4	1.0301
750.00	6.398E-01	+5.4	-4.8	±3.9	±3.0	±2.4	1.0377
800.00	4.491E-01	+5.5	-4.7	±4.0	±3.2	±2.4	1.0454
850.00	3.195E-01	+5.5	-4.7	±4.2	±3.4	±2.5	1.0532
900.00	2.301E-01	+5.5	-4.8	±4.4	±3.6	±2.5	1.0610
950.00	1.675E-01	+5.5	-4.8	±4.6	±3.8	±2.6	1.0695
1000.00	1.233E-01	+5.5	-4.8	±4.8	±4.0	±2.6	1.0783
1050.00	9.159E-02	+5.5	-4.8	±5.0	±4.2	±2.7	1.0890
1100.00	6.868E-02	+5.5	-4.8	±5.2	±4.4	±2.7	1.1004
1150.00	5.193E-02	+5.6	-4.9	±5.4	±4.7	±2.8	1.1122
1200.00	3.958E-02	+5.6	-4.9	±5.6	±4.9	±2.8	1.1242
1250.00	3.040E-02	+5.6	-4.9	±5.9	±5.1	±2.9	1.1364
1300.00	2.349E-02	+5.6	-4.9	±6.1	±5.3	±2.9	1.1475
1350.00	1.828E-02	+5.6	-5.0	±6.3	±5.6	±3.0	1.1586
1400.00	1.431E-02	+5.7	-5.0	±6.5	±5.8	±3.0	1.1700
1450.00	1.126E-02	+5.8	-5.0	±6.8	±6.0	±3.1	1.1816
1500.00	8.913E-03	+5.9	-5.1	±7.0	±6.3	±3.2	1.1937
1550.00	7.089E-03	+6.1	-5.1	±7.3	±6.5	±3.2	1.2069
1600.00	5.666E-03	+6.3	-5.1	±7.5	±6.7	±3.3	1.2206
1650.00	4.546E-03	+6.5	-5.2	±7.7	±7.0	±3.3	1.2347
1700.00	3.662E-03	+6.8	-5.2	±8.0	±7.2	±3.4	1.2493
1750.00	2.965E-03	+9.4	-3.5	±7.5	±7.2	±1.8	1.2644
1800.00	2.408E-03	+9.1	-3.9	±7.9	±7.6	±2.1	1.2798
1850.00	1.963E-03	+8.8	-4.2	±8.2	±7.9	±2.5	1.2955
1900.00	1.606E-03	+8.6	-4.5	±8.6	±8.2	±2.8	1.3117
1950.00	1.317E-03	+8.4	-4.7	±9.0	±8.4	±3.1	1.3283
2000.00	1.084E-03	+8.3	-4.9	±9.4	±8.7	±3.3	1.3453
2050.00	8.953E-04	+8.2	-5.1	±9.7	±9.0	±3.6	1.3627
2100.00	7.415E-04	+8.1	-5.3	±10.0	±9.3	±3.8	1.3806
2150.00	6.144E-04	+8.1	-5.5	±10.4	±9.6	±3.9	1.3989
2200.00	5.108E-04	+8.1	-5.6	±10.7	±9.9	±4.1	1.4176
2250.00	4.267E-04	+8.1	-5.7	±11.0	±10.1	±4.2	1.4367
2300.00	3.569E-04	+8.1	-5.8	±11.3	±10.4	±4.3	1.4563
2350.00	2.988E-04	+8.2	-5.9	±11.6	±10.7	±4.4	1.4763
2400.00	2.509E-04	+8.3	-6.0	±11.9	±11.0	±4.5	1.4968
2450.00	2.110E-04	+8.3	-6.0	±12.2	±11.3	±4.6	1.5177
2500.00	1.778E-04	+8.4	-6.1	±12.5	±11.6	±4.6	1.5390
2550.00	1.499E-04	+8.5	-6.2	±12.8	±11.9	±4.7	0.0000
